id;log_price;property_type;room_type;amenities;accommodates;bathrooms;bed_type;cancellation_policy;cleaning_fee;city;description;first_review;host_has_profile_pic;host_identity_verified;host_response_rate;host_since;instant_bookable;last_review;latitude;longitude;name;neighbourhood;number_of_reviews;review_scores_rating;thumbnail_url;zipcode;bedrooms;beds
593253;5.697093486505405;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Elevator in building"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Smartlock}";8;3.0;Real Bed;strict;True;LA;A FULLY-FURNISHED MODERN, BRAND NEW LUXURY 3BR+3BA UNIT OFFERING THE BEST IN HOLLYWOOD LIVING. LOCATED IN THE HEART OF HOLLYWOOD WALKING DISTANCE FROM THE CHINESE THEATRE AND TO WORLD-CLASS DINING, ENTERTAINMENT. FREE WIFI GATED PARKING WITH 2 SPACES A bright, third floor apartment with an open floor plan that is to die for, this unit features two masters with ensuite bathrooms and walk-in closets, and includes designer fixtures, stunning real walnut hardwood floors, in suite washer and dryer hookups, luxury appliances and a balcony. The interior was designed by one of the designers behind the W Hotel, and features contemporary furniture and accents. The living room features a 55-inch flat screen TV with Roku so you can access Netflix, Amazon, Hulu and your other favorite streaming platforms. The unit includes pots, pans, coffee machine, iron, ironing board, toiletries, hair dryer, cleaning supplies, and everything you might need to feel right at home. You will have access to the entir;2016-08-30;t;t;100%;2015-08-19;t;2017-04-22;34.101726105754835;-118.3462592658064;BRIGHT, CHARMING 3BR+3BA UNIT IN HOLLYWOOD;Hollywood;31;97.0;https://a0.muscache.com/im/pictures/bdea7d31-a155-4771-b5e7-7afd88a2d8ea.jpg?aki_policy=small;90046;3.0;5.0
1243883;4.553876891600541;Apartment;Private room;"{TV,Internet,""Wireless Internet"",Kitchen,Gym,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";2;1.5;Real Bed;strict;False;NYC;the apt is located in the heart of Greenpoint historic neighborhood, it is the place to be to experience the real Brooklyn hype style life. The room is huge and very bright (3windows), quiet, with a queen-size bed. The room is really big and nice. It has a good Queen side bed. there are 3 windows so it is really sunny but still quiet. There are a few plants in the room. The apartment is a 3 bedroom apartment, nice and quiet, located a block away from the Greenpoint ave stop on the G train (it takes 20min to get to Grand Central station in Manhattan from the apartment). Greenpoint is the best area in brooklyn, a lot of very nice restaurants, Bars, cute boutiques and stores. I have 2 very nice roommates, tow french girls in there late twenties. The 3 rooms are in a different side of the apartment (no sharing wall) which offert a nice privacy. The kitchen is all furnished as well as the living room. We share the bathroom but it is very clean. We are very respectfull towards each other, we;2016-07-01;t;t;67%;2012-05-22;f;2017-01-04;40.72985406903881;-73.95830012372298;Beautiful Sunny & Spacious Room;Greenpoint;3;100.0;https://a0.muscache.com/im/pictures/0849f481-55d2-482c-9f12-666878d78fa1.jpg?aki_policy=small;11222;1.0;1.0
6089007;4.382026634673881;Apartment;Private room;"{TV,""Wireless Internet"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";1;1.0;Real Bed;flexible;True;NYC;"Private room in the Upper West Side minutes from Central Park and the 1/C/B train stations. Quiet, clean and  organized. Drawer space for visitors to use for storage for the duration of their stay. Everything washed, there is no A/C but the window opens and the breeze lets in the fresh temps (NYC is cool at this time of year), its not hot this time of year; also a fan in just in case. Respectful to other tenants. Mini refrigerator in the room to store your food and drinks. Washer and Dryer. Mostly the room, bathroom and living room space. I will be readily available if you have any questions or concerns. Will have the keys ready for pick up. Upper West Side neighborhood. Nice, quiet and secure building.";2017-04-08;t;t;100%;2016-05-11;t;2017-04-08;40.79974329421058;-73.964323653252;Cozy room in UWS in modern apt;Upper West Side;1;;https://a0.muscache.com/im/pictures/85ac5254-d6dc-497c-b372-18fd9eb99846.jpg?aki_policy=small;10036;0.0;1.0
14823526;5.6167710976665735;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials}";4;1.5;Real Bed;moderate;True;Boston;Centrally located, quiet neighborhood, steps from Copley, Prudential, Back Bay train station. In the heart of the best restaurants and shopping in the city. Walk to the Esplanade, freedom trail, Boston Common, Fenway Park.;2015-07-06;t;t;100%;2015-06-03;f;2017-10-02;42.34506923068747;-71.07883957651161;south end/back bay brownstone;South End;37;100.0;https://a0.muscache.com/im/pictures/87520052/c156c781_original.jpg?aki_policy=small;02116;2.0;2.0
9139920;4.07753744390572;Apartment;Private room;"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}";2;1.0;Real Bed;moderate;True;Boston;Welcome to your Boston home! Bright and elegant private room a beautiful Victorian home. Centrally located in the Ashmont neighborhood of Dorchester with quick access to the subway and the highway. Short drive to Downtown Boston, Dorchester Bay and Castle Island Beach. You will feel welcome and peaceful in my home. It is full of charm, glam yet relaxing and comfortable. Access to Kitchen for light cooking, bathroom, living room (no TV access) TV in bedroom.  No access to other bedroom.  Guests can store food item in designated compartment in the fridge.  Laundry available only for weekly and monthly stays.  Light snacks and tea provided.  Free street parking available. DO NOT PARK IN OR BLOCK THE DRIVEWAY AT ANY TIME. I will be in and out of the house. I am available at via text, email, (SENSITIVE CONTENTS HIDDEN) and when I am in the house. There are plenty of nice restaurant and bars with 5-10 minutes walking distance and driving. Dorchester is an old Irish neighborhood and there is ;2017-05-07;t;t;100%;2015-08-09;f;2017-10-03;42.28804426851795;-71.06096927185459;Beautiful & Relaxing room 4 min from Ashmont Train;Dorchester;22;93.0;https://a0.muscache.com/im/pictures/ffda7afb-120a-44d6-9320-f0ff0c361fd7.jpg?aki_policy=small;02124;1.0;1.0
530247;4.382026634673881;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";1;1.0;Real Bed;strict;False;LA;Welcome to Pasadena. Neighborhood is comfortable. Local restaurant, cafe & bakery are walking distance. Short drive to Old Town, Rose Bowl, Cal Tech, and hiking trails. Since this is my home, I'd like to know a bit about you and the purpose of your trip. Photo and airbnb's verified ID required.;;t;t;100%;2014-07-28;f;;34.17063921214205;-118.12740309909024;Private bedroom and own bath;Pasadena;0;;https://a0.muscache.com/im/pictures/3c430113-590a-4df1-973c-799d4f0af4e9.jpg?aki_policy=small;91104;1.0;1.0
16780250;4.605170185988092;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";3;1.0;Real Bed;strict;True;LA;Private bedroom and bathroom in a classic Hollywood Hills estate. Spend your days basking in California's eternal sunshine and sleeping on one of the most comfortable beds you've ever felt. Pool + deck! BONUS: Are you a pianist? We invite you to play our Grand! The private bedroom and bathroom in this magnificent home is the perfect escape from the hustle and bustle of Los Angeles. Enjoy a busy day in the city or a fun night out on the town and come home to the peace and tranquility of Mount Olympus, one of Los Angeles' premier neighborhoods. Take a mid-day dip in the pool, sun bathe on the ample pool deck, or take in the beautiful city lights. Be sure to head down the road to Runyon Canyon for one of LA's most famous hikes and grab dinner and drinks on Sunset blvd! Live your Hollywood dreams and retire to your escape in the hills. Available for photo shoots and video for an additional charge. Please inquire before booking if you would like to use the room or space for photography or v;2015-04-26;t;t;89%;2012-09-25;t;2017-04-08;34.112581774270424;-118.36244746699111;Private Room in WeHo Hills!;;99;94.0;https://a0.muscache.com/im/pictures/74907652/350dae8d_original.jpg?aki_policy=small;90046;1.0;1.0
1083874;3.8918202981106265;Townhouse;Private room;"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}";2;1.0;Real Bed;strict;False;LA;"BRAND NEW LISTING!! We just added another BNB that we as hosts would love to share with you! Just 10 minutes from Universal Studios, walking distance to Dance studios and NoHo Arts district - Our comfortable townhouse has a clean feel with carpet and thick walls! Enjoy your own private bedroom (with queen bed) and attached private bathroom & balcony. Easy access to all major subway lines! And tons of restaurants around the corner. The room comfortably fits 2 people. It has a memory foam comfortable queen sized bed and chair. You also get a 32"" television in your room w/ access to Netflix, Hulu, Amazon, etc! Balcony connected to room as well as spacious closet (hangers provided). Private full bathroom is right next to room (not attached, see photo). Street parking. Street parking. Gate code provided when booked. Self check-in with keypad. Wifi and internet included. We live on the 3rd floor of the townhouse and will have little to no interaction with you. I work from home and am usually";2017-04-14;t;t;100%;2014-05-14;f;2017-04-29;34.18026368971061;-118.38541132484583;Townhouse next to Universal Studios 2;North Hollywood;3;93.0;https://a0.muscache.com/im/pictures/29c924ac-cf7f-442b-b1ae-fa79d30e3df1.jpg?aki_policy=small;91606;1.0;1.0
9602518;4.691347882229144;Dorm;Private room;"{TV,""Wireless Internet"",Kitchen,""Smoking allowed"",Elevator,Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";2;1.0;Real Bed;flexible;True;SF;The residence is located directly in the Mission District and is close to Dolores Park, the Castro and also 16th and Mission BART Station.  We are just two stops from Powell Station where you can find Union Square and lots of shopping options. Fourbarrel Coffee and Little Star Pizza, both very popular spots are just around the corner.   You’ll love the residence because of the ambiance, the outdoors space, and the neighborhood. The residence is great for couples and solo adventurers.;2016-06-11;t;t;83%;2016-02-04;t;2017-05-31;37.76727839795632;-122.42230734538389;Room with Private Bathroom in the Mission!;Mission District;22;96.0;https://a0.muscache.com/im/pictures/685b40e9-49e3-4dd9-b2bc-757dfe84ba45.jpg?aki_policy=small;94103;1.0;1.0
10828914;4.31748811353631;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Buzzer/wireless intercom"",Heating,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";2;1.5;Real Bed;strict;False;NYC;House is less than 2 blocks from 2 & 5 Subway lines  (30 mins to Times Square/ Grand Central), supermarkets are less than 2 blocks. Nearby: Yankee Stadium, Bronx Zoo, Botanical Gardens, Pregones Theater, US Post Office, Family Dollar Store, Fast Food (Pizza, McDonald's, KFC). Complimentary coffee, tea, bottled water, toothpaste/ brush. Neighborhood is sate and this place is great for solo adventurers, couples, & business travelers. It's a cozy room with a balcony in a private house with many amenities.  It's ideal for couples or singles. Guests will have access to a private room with lock and keys and a shared bathroom.  Guests have their own coffee and Tea maker in their room and are certainly welcome to use the house microwave in the kitchen area.  There is also a 1/2  bathroom downstairs in the living room area that guests can use.  We are an open minded couple that love to intermingle with people and always respecting guests privacy. We love talking and listening to our guests and ;2016-09-05;t;t;100%;2016-08-01;t;2017-10-01;40.81998479012534;-73.90324820874058;A beautiful cozy room with balcony;Mott Haven;59;99.0;https://a0.muscache.com/im/pictures/e318c08d-e55b-462e-91db-199f8e995ec3.jpg?aki_policy=small;10456;1.0;1.0
