id;log_price;property_type;room_type;amenities;accommodates;bathrooms;bed_type;cancellation_policy;cleaning_fee;city;description;first_review;host_has_profile_pic;host_identity_verified;host_response_rate;host_since;instant_bookable;last_review;latitude;longitude;name;neighbourhood;number_of_reviews;review_scores_rating;thumbnail_url;zipcode;bedrooms;beds;Price
6901257;5.010635294096256;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Essentials,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}";3;1.0;Real Bed;strict;True;NYC;Beautiful, sunlit brownstone 1-bedroom in the loveliest neighborhood in Brooklyn. Blocks from the promenade and Brooklyn Bridge Park, with their stunning views of Manhattan, and from the great shopping and food.;2016-06-18;t;t;;2012-03-26;f;2016-07-18;40.69652362997076;-73.99161684624262;Beautiful brownstone 1-bedroom;Brooklyn Heights;2;100.0;https://a0.muscache.com/im/pictures/6d7cbbf7-c034-459c-bc82-6522c957627c.jpg?aki_policy=small;11201;1.0;1.0;150.00000000000009
6304928;5.1298987149230735;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}";7;1.0;Real Bed;strict;True;NYC;Enjoy travelling during your stay in Manhattan. My place is centrally located near Times Square and Central Park with easy access to main subways as well as walking distance to many popular restaurants and bus tours. My place is close to the subway, Totto Ramen, Hell's Kitchen, Ippudo Westside, Empanada Mama, Intrepid Sea, Air & Space Museum. My place has three true bedrooms and one bathroom. The kitchen is stocked with stainless steel appliances like the Keurig machine. The living room is spacious and can accommodate another person thanks to the pull out bed. My place is centrally located to some of the top attractions in the city. Feel free to explore the entire apartment and do not worry about sharing the space with any strangers. This is all yours during your stay. I am available via text/email/phone for anything you might need. - Times Square - Rockefeller Plaza - Central Park  - 5th Avenue Shopping  -Broadway Theater District  - Empire State Building  - Hudson River Express Subwa;2017-08-05;t;f;100%;2017-06-19;t;2017-09-23;40.766115415949685;-73.98903992265213;Superb 3BR Apt Located Near Times Square;Hell's Kitchen;6;93.0;https://a0.muscache.com/im/pictures/348a55fe-4b65-452a-b48a-bfecb3b58a66.jpg?aki_policy=small;10019;3.0;3.0;169.0
13418779;6.620073206530356;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials}";4;1.0;Real Bed;flexible;True;SF;This light-filled home-away-from-home is super clean and comes with all of the modern amenities travelers could want. Located on a quiet street in the very trendy, super central Lower Haight neighborhood. 15 minutes to Superbowl City! Avail 2/4-2/8. Tucked away on a quaint and quiet one-way street just one block away from the restaurants, shops and bars on Haight Street. There are trains and buses just a block away to get around the city. Super central and trendy!;;t;t;;2015-04-19;f;;37.77200448256077;-122.43161868239788;Beautiful Flat in the Heart of SF!;Lower Haight;0;;https://a0.muscache.com/im/pictures/72208dad-9c86-41ea-a735-43d933111063.jpg?aki_policy=small;94117.0;2.0;2.0;750.0
12422935;4.442651256490317;Apartment;Private room;"{TV,""Wireless Internet"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace""}";2;1.0;Real Bed;strict;True;SF;"Beautiful private room overlooking scenic views in San Francisco's upscale Noe Valley neighborhood. You'll have your own bedroom, queen bed, dresser, wardrobe, smart TV, workstation, desk&chair, WiFi, and kitchen. Fresh towels and linens are provided for your convenience. MUNI bus stop and all tech shuttles are around the corner, J-Church subway is 5-minute walk away. Restaurants, bars, and cafes are around the corner. Ideal location for experiencing SF or commuting to Silicon Valley. We'll provide 100% cotton sheets and fresh towels. You'll have access to the full size bathroom as well as the kitchen. We'll also provide high speed business class WiFi internet, as well as HBO and Net""ix on your private TV. Guests will have access to kitchen and bathroom in addition to their private bedroom. We'll interact with you as much as you'd like to make your stay as comfortable as possible. We are available if you need us but will not disturb you otherwise. One of the sunniest neighborhoods in S";2017-08-27;t;t;100%;2017-06-07;t;2017-09-05;37.7531640472884;-122.4295260773271;Comfort Suite San Francisco;Noe Valley;3;100.0;https://a0.muscache.com/im/pictures/82509143-4b21-44eb-a556-e3c1e0afac60.jpg?aki_policy=small;94131;1.0;1.0;85.00000000000001
11825529;4.4188406077965965;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}";3;1.0;Real Bed;moderate;True;LA;"Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. This is a non smoking apartment. Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. Close to the beach, lots of entertainment, balcony,  full kitchen. Gated parking, swimming pool, beach activities, Venice Beach, Marina Harbor At the check in, to deliver the keys. Quite peaceful place, friendly locals, fresh ocean breeze, Venice canals, marina harbor. Yes, the is Bus and uber Gated parking, swimming pool, beach activities, Venice Beach, Marina Har";2017-03-10;t;f;100%;2017-03-03;t;2017-04-21;33.980454397275096;-118.46282073746792;Beach Town Studio and Parking!!!11h;;15;97.0;https://a0.muscache.com/im/pictures/4c920c60-43dc-4169-a0da-ccf37f1d7a94.jpg?aki_policy=small;90292;1.0;1.0;82.99999999999987
13971273;4.787491742782046;Condominium;Entire home/apt;"{TV,""Cable TV"",""Wireless Internet"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Dog(s),Cat(s),""Other pet(s)"",""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer""}";2;1.0;Real Bed;moderate;True;LA;Arguably the best location (and safest) in downtown LA. Steps away from Staples Center, LA Live, LA Convention Center,  2 metro stations. Next door to FIDM.  Convenience: Starbucks & cleaner in the building. Ralph's across the street. FREE ASSIGNED GATED INDOOR PARKING. FREE WIFI. Fully stocked kitchen. PANORAMIC view of DTLA neighborhoods and LA Live, on your private balcony that spans the entire living room and bedroom.  Luxury hotel-style living with concierge, lobby, pool, jacuzzi, etc! Bright, airy and cozy 1 bedroom condo - all to yourself! 1 assigned parking space (indoor, gated), at no additional charge. Condo is located in South Park, the sub-neighborhood of Downtown LA with  premium luxury high rise buildings (Ritz-Carlton, EVO, and many more).  It is next to the Financial District and a stone's throw away from Korea Town and Little Tokyo.  Several blocks away from 4 major freeways: 110, 5, 10 and 101. Several blocks away from 4 major freeways: 110, 5, 10 and 101. 3 blocks aw;2016-12-16;t;t;100%;2013-05-18;f;2017-04-12;34.0467374142499;-118.2604389157384;Near LA Live, Staple's. Starbucks inside. OWN VIEW;Downtown;9;93.0;https://a0.muscache.com/im/pictures/61bd05d5-c4db-4c49-9f87-c0981c2d83b9.jpg?aki_policy=small;90015;1.0;1.0;119.99999999999999
180792;4.787491742782046;House;Private room;"{TV,""Cable TV"",""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard""}";2;1.0;Real Bed;moderate;True;SF;Garden Studio with private entrance from the street and garden patio sitting area in a charming house in front of Lincoln Park(URL HIDDEN) Queen bed, en suite bathroom and Breakfast bar. Quiet neighborhood away from the crowds. Great location. Your private entrance leads to a beautiful garden-patio,an excellent place to enjoy a cup of coffee or a glass of wine.  When you enter to your private room  you will find a comfortable Queen size bed, en suite bathroom,closet, a table for two  and a Breakfast Bar area with mini-fridge, coffee maker,kettle, toaster oven and few goodies awaiting for you.  Please note, there is no kitchen.      Flat screen CableTV, Free Wifi and maps of the area as well.      This is a studio in a garden level of a private home. Our family living space is above it and there can be a modest amount of noise briefly in the morning and again in the evening.        People enjoy having their own separate entrance, an added bonus to an already great and welcoming space. W;2016-02-13;t;f;100%;2015-06-04;f;2017-09-24;37.78112798186231;-122.50109524305331;Cozy Garden Studio - Private Entry;Richmond District;159;99.0;https://a0.muscache.com/im/pictures/0ed6c128-7d60-4e05-b3bf-63158a230f70.jpg?aki_policy=small;94121;1.0;1.0;119.99999999999999
5385260;3.58351893845611;House;Private room;"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}";2;1.0;Real Bed;moderate;True;LA;Quiet community. Close to supermarkets,restaurants,60 freeway.Looking forward to provide you with high quality service  安全宁静的街区, 近华人及韩国超市,餐厅,近60号高速。欢迎旅行商住 宽敞、明亮、干净、整洁、出入方便 Available kitchen,laundry,living room 可使用厨房洗衣间及客厅 Anytime contact with message or email.phone call available 9am to 7pm. 任何时间的信息和邮箱都可以。电话请在太平洋时间早上9点至晚上7点之间 房客须知:  1、房客之间不允许私下擅自更换房间,必须经由管理员,以及双方房客许可,由管理员监督更换房间。  1, between the tenants are not allowed to privately change the room, must be by the administrator, and the two sides permit tenants, supervise the replacement of the room by the administrator. 2、请认准自己预定房间的号码拿取钥匙,不得进入非预定房间。 2, please look for their own room number to pick up the key, not to enter the not you booking room. 3、预定房间请看准描述选定房间,如描述不清请向管理员咨询,预定后既视为认可不给予任何更换。 3, booking room, please see the description of the selected room, such as the description is unclear, please ask to the administrator, when confired booked room,we don't given any replacement. 4、请自行确认是否预定想要的房源,如不清楚请及时询问管理员,如确认预定,管理员既视为满意本房源,不再对预定进行;2017-04-03;t;f;100%;2017-03-12;t;2017-04-16;33.99256298219745;-117.89599660615322;No.7 Queen Size Cozy Room 舒适大床房;;2;90.0;https://a0.muscache.com/im/pictures/8d2f08ce-bf65-4018-a7b0-18823a7882a7.jpg?aki_policy=small;91748;1.0;1.0;36.0
5578513;4.605170185988092;Apartment;Private room;"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}";2;1.0;Real Bed;strict;True;NYC;This is a bright bedroom in an historic building with exposed brick walls and modern appointments, situated in the most vibrant and eclectic neighborhood in Manhattan!  You'll get an authentic experience during your stay in New York here. I have a room available in a lovely apartment in the East Village, close to the subway (5-10 minutes) and SoHo, Little Italy, and the Lower East Side (Each about 15 minutes).  Also located nearby are the eclectic and Lively St. Marks Place and Tompkins Square Park.   The room has a full-size bed, a large wardrobe, bookshelves, and a closet, and it has two large windows with plenty of light.   The apartment has a fully-equipped kitchen, a living room, a bathroom, a washer, and a dryer, all of which guests are welcome to use. The East Village is a great neighborhood with ample nightlife, and borders many other well-known Manhattan neighborhoods each with unique restaurants, shops, and character.  It is minutes away from the 2nd Avenue station for the F ;2013-04-28;t;t;100%;2013-03-27;f;2016-11-15;40.72388327162678;-73.98388042569023;Large East Village Bedroom To Let!;Alphabet City;82;93.0;https://a0.muscache.com/im/pictures/21726900/19c843e1_original.jpg?aki_policy=small;10009.0;1.0;1.0;100.00000000000004
14066228;4.248495242049359;Apartment;Private room;"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers}";2;1.0;Real Bed;flexible;True;LA;Newly furnished room in beach apartment one street up from the water! Relaxing ocean view from the patio in this quaint pet-friendly complex. Right next to the Riviera Village, full of restaurants and shopping! If you would like to rent on days not listed under availability, please message! I may be able to accommodate :);;t;f;;2016-05-10;f;;33.81322842362806;-118.3894336462262;Beach Pad 1 min walk to the ocean!;Torrance;0;;https://a0.muscache.com/im/pictures/be827784-a092-4b3c-8f69-f957414eb48c.jpg?aki_policy=small;90277;1.0;1.0;70.00000000000003
